7115027,-3.6320472,-3.7613783,7.218589
7115037,-3.6416273,-3.7709582,7.179071
7115047,-3.6045043,-3.8811293,7.2880445
7115147,-3.857179,-3.805686,7.225774
7115157,-3.9170544,-3.793711,7.204219
7115167,-3.8835242,-3.6308496,7.042555
7115177,-4.0188427,-3.5865417,6.7132397
7115187,-4.078718,-3.5637891,6.638994
7115197,-4.077521,-3.4212854,6.4545774
7115207,-4.1924815,-3.3805702,6.3623695
7115217,-4.181704,-3.3230896,6.084547
7115227,-4.204457,-3.2500415,5.661826
7115237,-4.4691067,-3.0991552,5.3552637
7115247,-4.6894484,-3.2081287,5.2726355
7115257,-4.726571,-3.1817834,5.412744
7115267,-4.564907,-3.1805859,5.435497
7115277,-4.472699,-3.4620008,5.285808
7115287,-4.405638,-3.747008,4.893025
7115297,-4.309838,-3.9637573,3.918252
7115307,-4.30385,-4.2343946,2.633324
7115317,-4.580475,-4.3445654,1.5759228
7115327,-4.7301636,-4.8810496,0.42032593
7115337,-4.398453,-5.47741,0.26824218
7115347,-4.855902,-6.213878,0.51971924
7115357,-4.6343627,-7.435338,0.22513184
7115367,-4.5134144,-8.55022,0.38320312
7115377,-4.429589,-9.741742,0.5867798
7115387,-4.311035,-11.08415,0.15447876
7115397,-4.575685,-11.842175,-0.40954834
7115407,-4.8091993,-12.452904,-1.9938538
7115417,-5.132527,-12.9259205,-3.3949401
7115427,-5.5732102,-13.607304,-4.446354
7115437,-6.0905347,-14.523398,-4.6726832
7115447,-5.9612036,-14.38808,-5.4043617
7115457,-5.3780165,-13.408517,-4.7469287
7115467,-4.414021,-12.093651,-2.8764184
7115477,-3.4703834,-10.70454,-1.2861255
7115487,-3.6320472,-9.762099,-0.95321774
7115501,-4.350553,-8.89151,-2.0381615
7115511,-5.197192,-8.310718,-4.022435
7115521,-5.6486535,-7.7909985,-6.0007215
7115531,-5.386399,-7.474856,-6.821016
7115541,-4.9157777,-7.8161464,-6.9946547
7115551,-4.4427614,-7.818541,-7.03058
7115561,-4.2092466,-7.423363,-7.4808435
7115571,-4.59245,-6.7036595,-7.984995
7115581,-6.1587925,-5.7312818,-5.988746
7115591,-5.442682,-4.8822474,-7.9837976
7115601,-6.74198,-4.237987,-6.7144375
7115611,-5.3684363,-4.0559654,-6.4258375
7115621,-5.4187317,-5.1624646,-5.706134
7115631,-6.0055113,-6.2893214,-5.667814
7115641,-6.5012803,-7.0317774,-5.8761806
7115651,-6.8952613,-7.223379,-6.260581
7115661,-6.995852,-6.539601,-6.828201
7115671,-6.8964586,-5.5241127,-7.787406
7115681,-6.8772984,-4.8810496,-7.6329274
7115691,-6.502478,-5.4905825,-5.9779687
7115701,-5.670209,-7.213799,-4.780459
7115711,-5.0582814,-7.4401283,-5.9911413
7115721,-5.421127,-6.653364,-6.9623218
7115731,-4.7864466,-4.2080493,-6.4258375
7115741,-5.4342995,-4.827162,-7.0784802
7115751,-5.8474402,-6.16478,-6.3839245
7115761,-5.398374,-6.9515443,-5.4905825
7115772,-4.6343627,-7.418573,-5.5851855
7115782,-4.430786,-6.262976,-4.9205675
7115792,-4.590055,-6.43422,-5.421127
7115802,-4.221222,-5.8965383,-1.7327967
7115812,-3.8919067,-7.6077795,-0.62989014
7115822,-3.129093,-8.879535,-0.11256592
7115832,-2.6021888,-8.606503,0.9172925
7115842,-1.7890795,-7.8784165,1.6932788
7115852,-2.0680993,-7.5910144,1.4693445
7115862,-3.7146752,-5.9983263,1.7771045
7115872,-5.243895,-5.2570677,0.9136999
7115882,-6.14083,-5.2846107,1.541195
7115892,-6.659352,-6.2617784,1.3100756
7115902,-6.652167,-5.527705,0.16765137
7115912,-7.1527257,-6.058202,-0.75083864
7115922,-7.9622426,-7.117998,-0.41433838
7115932,-7.479646,-8.344248,0.05149292
7115942,-7.0233946,-8.265212,0.735271
7115952,-6.4593678,-8.844807,1.7387842
7115962,-6.421047,-9.244776,2.6728418
7115972,-6.4881077,-9.909393,4.7445335
7115982,-6.3767395,-10.559641,6.678512
